Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
Bay,,1/3/1994,1.3,11.7,7.3,0.4,0.4,5.9,8,46.4,11:00,,,,8,1994
Bay,,1/31/1994,1.5,12,7.4,0.2,0.35,3,2.6,36.68,11:30,,,,2.6,1994
Bay,,2/7/1994,1,10.5,7.2,0.25,0.6,5.9,7.6,45.68,9:45,,,,7.6,1994
Bay,,2/23/1994,1,10.1,7.4,0.35,0.5,10,2.7,36.86,N/A,,,,2.7,1994
Bay,,2/28/1994,1,12.6,7.2,0.2,0.4,1.6,0,32,10:30,,,,0,1994
Bay,,3/7/1994,1,9.9,7.1,0.2,0.9,9.7,15.2,59.36,10:00,,,,15.2,1994
Bay,,3/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,10.1,50.18,11:00,,,,10.1,1994
Bay,,3/28/1994,1,9.2,7.1,0.15,0.95,16.1,22.1,71.78,9:50,,,,22.1,1994
Bay,,4/4/1994,1,9.2,7.2,0.25,0.75,15,13.5,56.3,10:00,,,,13.5,1994
Bay,,4/11/1994,1,8.6,7.3,0.2,0.75,15.7,13,55.4,10:00,,,,13,1994
Bay,,4/18/1994,1,8.8,7.6,0.2,0.7,17.5,16.6,61.88,10:30,,,,16.6,1994
Bay,,4/25/1994,1,10,7.9,0.2,0.5,19.3,22.1,71.78,11:00,,,,22.1,1994
Bay,,5/2/1994,1.3,9.8,7.5,0.2,0.65,16.1,13,55.4,10:30,,,,13,1994
Bay,,5/9/1994,1,10.1,7.9,0.25,0.75,18.8,19.5,67.1,10:45,,,,19.5,1994
Bay,,5/16/1994,1,8.2,7.8,0.25,0.8,22.1,22.3,72.14,10:00,,,,22.3,1994
Bay,,5/23/1994,1,10.8,9.1,0.05,0.05,21.7,24.3,75.74,11:00,,,,24.3,1994
Bay,,5/30/1994,1,8.7,8.5,0.35,0.8,22.3,22.7,72.86,N/A,,,,22.7,1994
Bay,,6/6/1994,1,9.4,8.6,0.35,0.8,23.8,25.7,78.26,11:00,,,,25.7,1994
Bay,,6/13/1994,1.2,10.4,9,0.35,0.8,27.9,26.9,80.42,10:45,,,,26.9,1994
Bay,,6/20/1994,1.5,9.8,9,0.35,0.7,29.5,30.5,86.9,10:15,,,,30.5,1994
Bay,,6/27/1994,1.5,7.3,8.1,0.25,1.2,25.5,27.9,82.22,10:15,,,,27.9,1994
Bay,,7/3/1994,2,10.7,9,0.4,0.9,28.5,28,82.4,10:40,,,,28,1994
Bay,,6/25/1994,2,11,9.4,0.5,0.9,30.5,28.5,83.3,10:30,,,,28.5,1994
Bay,,8/1/1994,2,10.7,9.2,0.45,0.75,29,25.5,77.9,N/A,,,,25.5,1994
Bay,,8/8/1994,2,10.2,9.2,0.4,0.55,22,21.5,70.7,10:30,,,,21.5,1994
Bay,,8/15/1994,2.3,6.9,8.8,0.45,0.9,24.5,20,68,10:30,,,,20,1994
Bay,,8/22/1994,2,9.1,9.1,0.45,0.9,27,24.5,76.1,10:30,,,,24.5,1994
Bay,,8/29/1994,2.3,9.8,9.3,0.45,0.75,27,27,80.6,10:45,,,,27,1994
Bay,,9/5/1994,2.5,8.6,8.5,0.2,1.2,17,17,62.6,10:00,,,,17,1994
Bay,,9/12/1994,2.5,7.9,8.4,0.35,0.6,21,19,66.2,10:30,,,,19,1994
Bay,,9/19/1994,2.5,8.2,8.1,0.45,0.6,20.5,21.5,70.7,10:30,,,,21.5,1994
Bay,,9/26/1994,2.25,6.9,8.1,0.45,0.8,23,23,73.4,10:15,,,,23,1994
Bay,,10/10/1994,2.5,8.4,8.1,0.45,0.5,17,17,62.6,10:30,,,,17,1994
